iter	Logloss
0	0.4592434076
1	0.4523760001
2	0.4490453119
3	0.4463757298
4	0.4438506688
5	0.442769902
6	0.4417560614
7	0.440940581
8	0.4401558125
9	0.4395193933
10	0.4391216882
11	0.4387917253
12	0.4384826133
13	0.4380632733
14	0.4377974096
15	0.437570712
16	0.4372653718
17	0.4370752322
18	0.4368611943
19	0.4366583135
20	0.436546492
21	0.4362575365
22	0.436147973
23	0.4360155132
24	0.4359187707
25	0.4357977613
26	0.4356845318
27	0.4355592915
28	0.4354814834
29	0.4354011331
30	0.4352939567
31	0.4352155473
32	0.4351249724
33	0.4350636965
34	0.4349843126
35	0.434917911
36	0.4348543233
37	0.4346918186
38	0.4346173315
39	0.4345437412
40	0.4344656796
41	0.4344115198
42	0.4342780697
43	0.4342278552
44	0.4341800382
45	0.4340889925
46	0.4340334203
47	0.4339799979
48	0.4339249832
49	0.4338744154
50	0.433810237
51	0.433754166
52	0.4337230507
53	0.433691375
54	0.4336129261
55	0.4335731278
56	0.4335448939
57	0.4335061056
58	0.4334676852
59	0.4334283019
60	0.4333985333
61	0.4333645331
62	0.4333443546
63	0.4332844263
64	0.4332600909
65	0.4332277031
66	0.4332000898
67	0.4331587453
68	0.4331119037
69	0.4330806888
70	0.4330464074
71	0.4330228205
72	0.4330000848
73	0.4329695524
74	0.4329122132
75	0.4328640644
76	0.432832665
77	0.432792028
78	0.4327226817
79	0.4326799391
80	0.4326497367
81	0.4325909683
82	0.4325539138
83	0.4325152719
84	0.4324892834
85	0.4324452591
86	0.4324180721
87	0.4323807779
88	0.4323644944
89	0.4322854174
90	0.4322357503
91	0.4322144105
92	0.4321993443
93	0.4321536745
94	0.4321239654
95	0.4319845621
96	0.4319608919
97	0.4319379648
98	0.4319065969
99	0.4318782712
